Litter type,Block,Plot,Position,Months,Percent N mass remaining
pine,A,11,Surface,36,86.03
pine,A,12,Surface,36,80.17
,,,,,
pine,B,1,Surface,36,99.42
pine,B,2,Surface,36,103.49
pine,B,4,Surface,36,106.18
pine,B,5,Surface,36,105.68
pine,B,6,Surface,36,107.35
pine,B,8,Surface,36,96.29
pine,B,9,Surface,36,88.25
pine,B,10,Surface,36,95.45
pine,B,11,Surface,36,117.92
pine,B,12,Surface,36,126.23
,,,,,
pine,C,1,Surface,36,82.94
pine,C,2,Surface,36,100.35
pine,C,4,Surface,36,104.38
pine,C,5,Surface,36,107.63
pine,C,7,Surface,36,78.28
pine,C,10,Surface,36,102.18
pine,C,12,Surface,36,94.75
,,,,,
,,,,,
pine,A,1,Surface,48,79.73
pine,A,2,Surface,48,59.75
pine,A,3,Surface,48,114.08
pine,A,4,Surface,48,109.66
pine,A,5,Surface,48,97.36
pine,A,6,Surface,48,108.98
pine,A,7,Surface,48,39.29
pine,A,8,Surface,48,131.47
pine,A,9,Surface,48,117.6
pine,A,10,Surface,48,73.34
pine,A,11,Surface,48,115.61
pine,A,12,Surface,48,81.66
,,,,,
pine,B,1,Surface,48,63.71
pine,B,2,Surface,48,119.27
pine,B,4,Surface,48,127.54
pine,B,5,Surface,48,108.15
pine,B,8,Surface,48,111.85
pine,B,9,Surface,48,90.48
pine,B,9,Surface,48,96.06
pine,B,10,Surface,48,125.15
pine,B,12,Surface,48,92.11
,,,,,
pine,C,3,Surface,48,90.83
pine,C,4,Surface,48,123.2
pine,C,5,Surface,48,125.89
pine,C,8,Surface,48,107.84
pine,C,10,Surface,48,110.89
pine,C,11,Surface,48,103.17
pine,C,12,Surface,48,111.67
,,,,,
Mixed,A,1,Buried,6,69.41
Mixed,A,2,Buried,6,73.75
Mixed,A,3,Buried,6,89.42
Mixed,A,4,Buried,6,99.56
Mixed,A,6,Buried,6,64.02
Mixed,A,7,Buried,6,87.48
Mixed,A,8,Buried,6,63.43
Mixed,A,9,Buried,6,78.3
Mixed,A,10,Buried,6,75.43
Mixed,A,10,Buried,6,91.92
Mixed,A,11,Buried,6,103.19
,,,,,
Mixed,B,1,Buried,6,54
Mixed,B,2,Buried,6,69.95
Mixed,B,3,Buried,6,133.67
Mixed,B,4,Buried,6,123
Mixed,B,5,Buried,6,73.12
Mixed,B,6,Buried,6,100.71
Mixed,B,7,Buried,6,63.68
Mixed,B,8,Buried,6,112.63
Mixed,B,10,Buried,6,102.5
Mixed,B,11,Buried,6,61.66
Mixed,B,11,Buried,6,91.15
Mixed,B,12,Buried,6,98.28
,,,,,
Mixed,C,1,Buried,6,110.47
Mixed,C,2,Buried,6,110.84
Mixed,C,3,Buried,6,73.43
Mixed,C,4,Buried,6,93.9
Mixed,C,4,Buried,6,99.88
Mixed,C,6,Buried,6,86.51
Mixed,C,7,Buried,6,97.29
Mixed,C,9,Buried,6,105.88
Mixed,C,10,Buried,6,88.09
Mixed,C,11,Buried,6,103.75
Mixed,C,12,Buried,6,80.96
,,,,,
,,,,,
Mixed,A,1,Buried,12,108.14
Mixed,A,2,Buried,12,77.89
Mixed,A,3,Buried,12,105.17
Mixed,A,4,Buried,12,97.46
Mixed,A,5,Buried,12,63.12
Mixed,A,6,Buried,12,65.4
Mixed,A,7,Buried,12,61.39
Mixed,A,8,Buried,12,71.04
Mixed,A,9,Buried,12,71.56
Mixed,A,11,Buried,12,72.18
Mixed,A,12,Buried,12,67.46
Mixed,A,12,Buried,12,87.58
,,,,,
Mixed,B,1,Buried,12,74.46
Mixed,B,2,Buried,12,74.4
Mixed,B,4,Buried,12,77.33
Mixed,B,5,Buried,12,52.42
Mixed,B,6,Buried,12,97.51
Mixed,B,7,Buried,12,93.38
Mixed,B,8,Buried,12,53.25
Mixed,B,9,Buried,12,90.3
Mixed,B,10,Buried,12,95.38
Mixed,B,11,Buried,12,96.12
Mixed,B,12,Buried,12,93.3
,,,,,
Mixed,C,1,Buried,12,81.45
Mixed,C,2,Buried,12,58.33
Mixed,C,3,Buried,12,25.3
Mixed,C,3,Buried,12,51.7
Mixed,C,5,Buried,12,63.87
Mixed,C,5,Buried,12,81.57
Mixed,C,6,Buried,12,91.45
Mixed,C,7,Buried,12,87.57
Mixed,C,8,Buried,12,88.68
Mixed,C,9,Buried,12,96.51
Mixed,C,10,Buried,12,66.34
Mixed,C,11,Buried,12,100.94
Mixed,C,12,Buried,12,91.83
,,,,,
,,,,,
Mixed,A,1,Buried,18,23.19
Mixed,A,2,Buried,18,47.5
Mixed,A,3,Buried,18,36.25
Mixed,A,5,Buried,18,43.36
Mixed,A,6,Buried,18,29.42
Mixed,A,7,Buried,18,37.59
Mixed,A,8,Buried,18,62.5
Mixed,A,9,Buried,18,42.49
Mixed,A,10,Buried,18,27.94
Mixed,A,11,Buried,18,44.48
Mixed,A,12,Buried,18,25.69
,,,,,
Mixed,B,1,Buried,18,32.2
Mixed,B,2,Buried,18,59.75
Mixed,B,4,Buried,18,28.86
Mixed,B,5,Buried,18,45.17
Mixed,B,6,Buried,18,45.39
Mixed,B,7,Buried,18,18.7
Mixed,B,8,Buried,18,37.23
Mixed,B,9,Buried,18,45.43
Mixed,B,10,Buried,18,47.72
Mixed,B,11,Buried,18,39.08
Mixed,B,12,Buried,18,62.3
,,,,,
Mixed,C,1,Buried,18,54.36
Mixed,C,2,Buried,18,59.9
Mixed,C,3,Buried,18,28.74
Mixed,C,4,Buried,18,33.07
Mixed,C,6,Buried,18,58.97
Mixed,C,7,Buried,18,29.6
Mixed,C,8,Buried,18,71.38
Mixed,C,9,Buried,18,53.22
Mixed,C,10,Buried,18,20.75
Mixed,C,11,Buried,18,31.66
Mixed,C,12,Buried,18,40.65
,,,,,
,,,,,
Mixed,A,1,Buried,24,67.22
Mixed,A,4,Buried,24,33.18
Mixed,A,5,Buried,24,52.56
Mixed,A,6,Buried,24,35.38
Mixed,A,7,Buried,24,35.16
Mixed,A,9,Buried,24,62.85
Mixed,A,10,Buried,24,35.89
Mixed,A,12,Buried,24,29.02
,,,,,
Mixed,B,1,Buried,24,47.29
Mixed,B,2,Buried,24,14.16
Mixed,B,3,Buried,24,57.54
Mixed,B,4,Buried,24,19.5
Mixed,B,5,Buried,24,31.84
Mixed,B,6,Buried,24,55.33
Mixed,B,7,Buried,24,44.08
Mixed,B,8,Buried,24,37.23
Mixed,B,9,Buried,24,55.5
Mixed,B,10,Buried,24,13.36
Mixed,B,11,Buried,24,67.95
Mixed,B,12,Buried,24,59.97
,,,,,
Mixed,C,1,Buried,24,33.99
Mixed,C,4,Buried,24,45.08
Mixed,C,6,Buried,24,25.14
Mixed,C,9,Buried,24,55.36
Mixed,C,12,Buried,24,36.6
,,,,,
,,,,,
,,,,,
Mixed,A,12,Buried,48,27.02
,,,,,
Mixed,A,1,Surface,6,86.21
Mixed,A,2,Surface,6,67.44
Mixed,A,3,Surface,6,96.34
Mixed,A,4,Surface,6,101.56
Mixed,A,5,Surface,6,69.53
Mixed,A,6,Surface,6,92.98
Mixed,A,7,Surface,6,77.59
Mixed,A,8,Surface,6,87.11
Mixed,A,9,Surface,6,79.07
Mixed,A,10,Surface,6,90.26
Mixed,A,10,Surface,6,92.23
Mixed,A,11,Surface,6,72.7
,,,,,
Mixed,B,1,Surface,6,115.78
Mixed,B,2,Surface,6,90.24
Mixed,B,3,Surface,6,100.11
Mixed,B,4,Surface,6,92.69
Mixed,B,5,Surface,6,66.62
Mixed,B,6,Surface,6,127.12
Mixed,B,7,Surface,6,67.03
Mixed,B,8,Surface,6,77
Mixed,B,10,Surface,6,96.04
Mixed,B,11,Surface,6,98.07
Mixed,B,11,Surface,6,100.04
Mixed,B,12,Surface,6,83.96
,,,,,
Mixed,C,2,Surface,6,96.69
Mixed,C,3,Surface,6,95.15
Mixed,C,4,Surface,6,86.48
Mixed,C,4,Surface,6,101.77
Mixed,C,6,Surface,6,100.52
Mixed,C,8,Surface,6,109.09
Mixed,C,9,Surface,6,106.5
Mixed,C,10,Surface,6,88.7
Mixed,C,11,Surface,6,88.55
Mixed,C,12,Surface,6,97.46
,,,,,
,,,,,
Mixed,A,1,Surface,12,100.62
Mixed,A,1,Surface,12,122.76
Mixed,A,2,Surface,12,102.23
Mixed,A,3,Surface,12,94.98
Mixed,A,4,Surface,12,104.12
Mixed,A,6,Surface,12,85.41
Mixed,A,7,Surface,12,116.14
Mixed,A,8,Surface,12,86.68
Mixed,A,11,Surface,12,102.42
Mixed,A,12,Surface,12,74.97
Mixed,A,12,Surface,12,97.71
,,,,,
Mixed,B,1,Surface,12,100.82
Mixed,B,4,Surface,12,92.87
Mixed,B,5,Surface,12,96.03
Mixed,B,6,Surface,12,94.34
Mixed,B,7,Surface,12,95.89
Mixed,B,8,Surface,12,99.75
Mixed,B,9,Surface,12,105.47
Mixed,B,10,Surface,12,85.12
Mixed,B,11,Surface,12,111.26
Mixed,B,12,Surface,12,97.49
,,,,,
Mixed,C,1,Surface,12,110.48
Mixed,C,2,Surface,12,94.34
Mixed,C,2,Surface,12,100.79
Mixed,C,3,Surface,12,95.9
Mixed,C,3,Surface,12,99.94
Mixed,C,5,Surface,12,99.72
Mixed,C,5,Surface,12,103.97
Mixed,C,6,Surface,12,90.89
Mixed,C,7,Surface,12,94.74
Mixed,C,8,Surface,12,99.4
Mixed,C,9,Surface,12,90.1
Mixed,C,10,Surface,12,93.52
Mixed,C,11,Surface,12,89.44
Mixed,C,12,Surface,12,95.21
,,,,,
,,,,,
Mixed,A,3,Surface,18,88.37
Mixed,A,4,Surface,18,105.81
Mixed,A,5,Surface,18,77.19
Mixed,A,6,Surface,18,83.58
Mixed,A,7,Surface,18,108.11
Mixed,A,8,Surface,18,101.31
Mixed,A,9,Surface,18,102.23
Mixed,A,10,Surface,18,95.62
Mixed,A,11,Surface,18,85.76
,,,,,
Mixed,B,1,Surface,18,86.4
Mixed,B,2,Surface,18,68.98
Mixed,B,3,Surface,18,97.18
Mixed,B,4,Surface,18,86.24
Mixed,B,5,Surface,18,96.52
Mixed,B,6,Surface,18,78.94
Mixed,B,7,Surface,18,86.91
Mixed,B,8,Surface,18,94.64
Mixed,B,9,Surface,18,77.57
Mixed,B,10,Surface,18,74.07
Mixed,B,11,Surface,18,57.43
Mixed,B,12,Surface,18,81.27
,,,,,
Mixed,C,1,Surface,18,72.64
Mixed,C,2,Surface,18,88.73
Mixed,C,3,Surface,18,89.93
Mixed,C,4,Surface,18,100.3
Mixed,C,6,Surface,18,108.97
Mixed,C,7,Surface,18,124.87
Mixed,C,8,Surface,18,83.43
Mixed,C,9,Surface,18,92.15
Mixed,C,10,Surface,18,102.69
Mixed,C,11,Surface,18,91.12
Mixed,C,12,Surface,18,94.8
,,,,,
,,,,,
Mixed,A,1,Surface,24,88.83
Mixed,A,2,Surface,24,89.18
Mixed,A,3,Surface,24,87.04
Mixed,A,4,Surface,24,91.32
Mixed,A,5,Surface,24,69.6
Mixed,A,6,Surface,24,96.37
Mixed,A,7,Surface,24,88.96
Mixed,A,8,Surface,24,89.98
Mixed,A,9,Surface,24,81.87
Mixed,A,10,Surface,24,104.16
Mixed,A,11,Surface,24,73.09
Mixed,A,12,Surface,24,72.96
,,,,,
Mixed,B,1,Surface,24,76.35
Mixed,B,2,Surface,24,83.32
Mixed,B,3,Surface,24,91.01
Mixed,B,4,Surface,24,85.94
Mixed,B,5,Surface,24,117.38
Mixed,B,6,Surface,24,95.91
Mixed,B,7,Surface,24,71.33
Mixed,B,8,Surface,24,138.52
Mixed,B,9,Surface,24,100.56
Mixed,B,10,Surface,24,84.15
Mixed,B,12,Surface,24,92.33
,,,,,
Mixed,C,1,Surface,24,74.6
Mixed,C,2,Surface,24,88.05
Mixed,C,3,Surface,24,150.31
Mixed,C,4,Surface,24,78.14
Mixed,C,5,Surface,24,84.46
Mixed,C,6,Surface,24,93.03
Mixed,C,7,Surface,24,117.51
Mixed,C,8,Surface,24,83.64
Mixed,C,9,Surface,24,86.61
Mixed,C,11,Surface,24,88.15
Mixed,C,12,Surface,24,96.7
,,,,,
,,,,,
Mixed,A,1,Surface,36,88.14
Mixed,A,2,Surface,36,81.16
Mixed,A,3,Surface,36,78.85
Mixed,A,4,Surface,36,66.83
Mixed,A,5,Surface,36,86.23
Mixed,A,6,Surface,36,81.73
Mixed,A,7,Surface,36,63.28
Mixed,A,8,Surface,36,85.93
Mixed,A,9,Surface,36,81.63
Mixed,A,10,Surface,36,83.37
Mixed,A,11,Surface,36,90.58
,,,,,
Mixed,B,1,Surface,36,77.38
Mixed,B,2,Surface,36,80.79
Mixed,B,5,Surface,36,82.6
Mixed,B,6,Surface,36,61.84
Mixed,B,8,Surface,36,149.91
Mixed,B,9,Surface,36,91.11
Mixed,B,10,Surface,36,35.38
,,,,,
Mixed,C,1,Surface,36,89.97
Mixed,C,4,Surface,36,116
Mixed,C,5,Surface,36,85.86
Mixed,C,7,Surface,36,87.95
Mixed,C,8,Surface,36,73.18
Mixed,C,9,Surface,36,91.97
Mixed,C,10,Surface,36,108.21
Mixed,C,11,Surface,36,76.33
Mixed,C,12,Surface,36,95.07
,,,,,
,,,,,
Mixed,A,3,Surface,48,97.89
Mixed,A,4,Surface,48,70.38
Mixed,A,5,Surface,48,70.59
Mixed,A,7,Surface,48,65.22
Mixed,A,8,Surface,48,49.41
Mixed,A,9,Surface,48,76.26
Mixed,A,10,Surface,48,68.83
Mixed,A,11,Surface,48,86.68
Mixed,A,12,Surface,48,81.37
,,,,,
Mixed,B,1,Surface,48,84.04
Mixed,B,2,Surface,48,87.55
Mixed,B,3,Surface,48,78.16
Mixed,B,4,Surface,48,94.67
Mixed,B,6,Surface,48,85.08
Mixed,B,9,Surface,48,86.81
Mixed,B,9,Surface,48,87.2
Mixed,B,10,Surface,48,74.64
Mixed,B,12,Surface,48,80.15
,,,,,
Mixed,C,1,Surface,48,95.61
Mixed,C,10,Surface,48,85.58
