Litter type,Block,Plot,Position,Months,Percent N mass remaining
turkey oak,C,12,Buried,36,21.26
,,,,,
,,,,,
turkey oak,A,4,Buried,48,22.26
turkey oak,A,6,Buried,48,22.97
turkey oak,A,6,Buried,48,33.15
turkey oak,A,7,Buried,48,29.2
turkey oak,A,8,Buried,48,16.16
turkey oak,A,9,Buried,48,15.44
,,,,,
turkey oak,B,2,Buried,48,31.03
turkey oak,B,5,Buried,48,26.64
turkey oak,B,7,Buried,48,6.45
turkey oak,B,8,Buried,48,11.99
turkey oak,B,9,Buried,48,21.12
turkey oak,B,12,Buried,48,20.81
,,,,,
turkey oak,C,2,Buried,48,6.12
turkey oak,C,3,Buried,48,15.73
turkey oak,C,4,Buried,48,17.71
turkey oak,C,5,Buried,48,22.93
turkey oak,C,7,Buried,48,54.13
turkey oak,C,11,Buried,48,21.1
,,,,,
turkey oak,A,1,Surface,6,110.58
turkey oak,A,2,Surface,6,94.91
turkey oak,A,3,Surface,6,100.05
turkey oak,A,4,Surface,6,99.89
turkey oak,A,5,Surface,6,87.45
turkey oak,A,6,Surface,6,97.67
turkey oak,A,7,Surface,6,101.68
turkey oak,A,8,Surface,6,112.41
turkey oak,A,9,Surface,6,95.42
turkey oak,A,10,Surface,6,95.54
turkey oak,A,10,Surface,6,100.8
turkey oak,A,11,Surface,6,107.77
,,,,,
turkey oak,B,1,Surface,6,115.3
turkey oak,B,2,Surface,6,108
turkey oak,B,3,Surface,6,101.01
turkey oak,B,4,Surface,6,95.25
turkey oak,B,5,Surface,6,101.57
turkey oak,B,6,Surface,6,125.76
turkey oak,B,7,Surface,6,109.79
turkey oak,B,8,Surface,6,109.87
turkey oak,B,10,Surface,6,120.58
turkey oak,B,11,Surface,6,106.62
turkey oak,B,11,Surface,6,121.03
turkey oak,B,12,Surface,6,106.73
,,,,,
turkey oak,C,1,Surface,6,103.02
turkey oak,C,2,Surface,6,103.49
turkey oak,C,3,Surface,6,105.8
turkey oak,C,4,Surface,6,93.51
turkey oak,C,4,Surface,6,114.42
turkey oak,C,6,Surface,6,108.41
turkey oak,C,6,Surface,6,122.87
turkey oak,C,7,Surface,6,103.91
turkey oak,C,8,Surface,6,128.15
turkey oak,C,9,Surface,6,105.96
turkey oak,C,10,Surface,6,98.54
turkey oak,C,11,Surface,6,114.91
turkey oak,C,12,Surface,6,114.47
,,,,,
,,,,,
turkey oak,A,1,Surface,12,138.16
turkey oak,A,2,Surface,12,106.23
turkey oak,A,4,Surface,12,123.78
turkey oak,A,5,Surface,12,106.02
turkey oak,A,6,Surface,12,92.43
turkey oak,A,7,Surface,12,119.17
turkey oak,A,8,Surface,12,103.84
turkey oak,A,9,Surface,12,49.77
turkey oak,A,9,Surface,12,98.58
turkey oak,A,11,Surface,12,113.32
turkey oak,A,12,Surface,12,114.81
turkey oak,A,12,Surface,12,123.33
,,,,,
turkey oak,B,1,Surface,12,122.37
turkey oak,B,2,Surface,12,111.41
turkey oak,B,3,Surface,12,112.89
turkey oak,B,4,Surface,12,112.71
turkey oak,B,5,Surface,12,90.9
turkey oak,B,6,Surface,12,96.46
turkey oak,B,7,Surface,12,115.07
turkey oak,B,8,Surface,12,116.5
turkey oak,B,9,Surface,12,103.27
turkey oak,B,10,Surface,12,62.6
turkey oak,B,11,Surface,12,83.04
turkey oak,B,11,Surface,12,119.21
turkey oak,B,12,Surface,12,102.05
,,,,,
turkey oak,C,1,Surface,12,112.59
turkey oak,C,2,Surface,12,90.87
turkey oak,C,3,Surface,12,129.96
turkey oak,C,5,Surface,12,118.95
turkey oak,C,6,Surface,12,107.99
turkey oak,C,7,Surface,12,131.5
turkey oak,C,8,Surface,12,108.81
turkey oak,C,9,Surface,12,96.19
turkey oak,C,10,Surface,12,100.84
turkey oak,C,11,Surface,12,97.47
turkey oak,C,12,Surface,12,107.19
,,,,,
,,,,,
turkey oak,A,1,Surface,18,119.2
turkey oak,A,2,Surface,18,106.08
turkey oak,A,3,Surface,18,99.4
turkey oak,A,4,Surface,18,85.84
turkey oak,A,5,Surface,18,104.14
turkey oak,A,6,Surface,18,114.72
turkey oak,A,7,Surface,18,104.06
turkey oak,A,8,Surface,18,97.01
turkey oak,A,9,Surface,18,87.14
turkey oak,A,10,Surface,18,90.06
turkey oak,A,11,Surface,18,103.86
turkey oak,A,12,Surface,18,72.28
,,,,,
turkey oak,B,1,Surface,18,106.74
turkey oak,B,2,Surface,18,34.68
turkey oak,B,3,Surface,18,88.67
turkey oak,B,4,Surface,18,93.14
turkey oak,B,5,Surface,18,92.7
turkey oak,B,6,Surface,18,102.85
turkey oak,B,7,Surface,18,112.65
turkey oak,B,8,Surface,18,98.85
turkey oak,B,9,Surface,18,107.53
turkey oak,B,10,Surface,18,112.65
turkey oak,B,11,Surface,18,99.92
turkey oak,B,12,Surface,18,113.41
,,,,,
turkey oak,C,1,Surface,18,109.39
turkey oak,C,2,Surface,18,92.16
