LitterType,Block,Plot,Position,Months,Percent P mass remaining
turkey oak,B,1,Surface,6,76.12
turkey oak,B,6,Surface,6,41.24
turkey oak,B,7,Surface,6,35.59
turkey oak,B,11,Surface,6,57.46
turkey oak,B,12,Surface,6,78.82
,,,,,
turkey oak,C,1,Surface,6,58.91
turkey oak,C,2,Surface,6,29.47
turkey oak,C,3,Surface,6,48.92
turkey oak,C,4,Surface,6,103.49
turkey oak,C,4,Surface,6,108.63
turkey oak,C,6,Surface,6,58.72
turkey oak,C,6,Surface,6,148.38
turkey oak,C,7,Surface,6,75.54
turkey oak,C,8,Surface,6,77.59
turkey oak,C,9,Surface,6,138.44
turkey oak,C,10,Surface,6,54.1
turkey oak,C,11,Surface,6,59.62
turkey oak,C,12,Surface,6,45.85
,,,,,
,,,,,
turkey oak,A,1,Surface,12,66.37
turkey oak,A,4,Surface,12,33.09
turkey oak,A,5,Surface,12,41.42
turkey oak,A,6,Surface,12,41.04
turkey oak,A,7,Surface,12,68.88
turkey oak,A,8,Surface,12,45.36
turkey oak,A,9,Surface,12,40.75
turkey oak,A,9,Surface,12,55.21
,,,,,
turkey oak,B,1,Surface,12,89.69
turkey oak,B,2,Surface,12,52.94
turkey oak,B,3,Surface,12,51.15
turkey oak,B,4,Surface,12,37.72
turkey oak,B,5,Surface,12,41.92
turkey oak,B,6,Surface,12,28.22
turkey oak,B,7,Surface,12,58.78
turkey oak,B,8,Surface,12,65.74
turkey oak,B,9,Surface,12,50.04
turkey oak,B,10,Surface,12,107.53
turkey oak,B,11,Surface,12,25.49
turkey oak,B,11,Surface,12,38.09
turkey oak,B,12,Surface,12,43.43
,,,,,
turkey oak,C,1,Surface,12,49.93
turkey oak,C,3,Surface,12,75.34
turkey oak,C,5,Surface,12,71.21
turkey oak,C,6,Surface,12,70.98
turkey oak,C,7,Surface,12,84.86
turkey oak,C,8,Surface,12,71.29
turkey oak,C,9,Surface,12,28.15
turkey oak,C,10,Surface,12,50.64
,,,,,
,,,,,
turkey oak,A,1,Surface,18,68.41
turkey oak,A,2,Surface,18,59.09
turkey oak,A,3,Surface,18,57.33
turkey oak,A,4,Surface,18,82.33
turkey oak,A,5,Surface,18,35.9
turkey oak,A,6,Surface,18,84.42
turkey oak,A,7,Surface,18,41.35
turkey oak,A,8,Surface,18,56.92
turkey oak,A,9,Surface,18,29.25
turkey oak,A,10,Surface,18,59.55
turkey oak,A,12,Surface,18,79
,,,,,
turkey oak,B,1,Surface,18,75.09
turkey oak,B,2,Surface,18,25.47
turkey oak,B,3,Surface,18,56.9
turkey oak,B,4,Surface,18,31.43
turkey oak,B,5,Surface,18,74.19
turkey oak,B,7,Surface,18,74.72
turkey oak,B,8,Surface,18,37.29
turkey oak,B,9,Surface,18,76.91
turkey oak,B,11,Surface,18,22.97
,,,,,
turkey oak,C,1,Surface,18,41.54
turkey oak,C,2,Surface,18,34.63
turkey oak,C,3,Surface,18,15.74
turkey oak,C,4,Surface,18,77.25
turkey oak,C,5,Surface,18,76.59
turkey oak,C,6,Surface,18,27.15
turkey oak,C,7,Surface,18,39.8
turkey oak,C,8,Surface,18,75.69
turkey oak,C,9,Surface,18,105.39
turkey oak,C,10,Surface,18,66.27
turkey oak,C,11,Surface,18,40.57
turkey oak,C,12,Surface,18,54.65
,,,,,
,,,,,
turkey oak,A,1,Surface,24,53.93
turkey oak,A,2,Surface,24,64.63
turkey oak,A,3,Surface,24,49.75
turkey oak,A,4,Surface,24,52.3
turkey oak,A,5,Surface,24,62.7
turkey oak,A,6,Surface,24,62.21
turkey oak,A,7,Surface,24,45.87
turkey oak,A,8,Surface,24,62.19
turkey oak,A,9,Surface,24,89.32
turkey oak,A,10,Surface,24,35.33
turkey oak,A,11,Surface,24,65.17
turkey oak,A,12,Surface,24,56.04
,,,,,
turkey oak,B,1,Surface,24,56.14
