LitterType,Block,Plot,Position,Months,Percent P mass remaining
Mixed,C,3,Buried,12,79.01
Mixed,C,5,Buried,12,83.7
Mixed,C,5,Buried,12,119.37
Mixed,C,6,Buried,12,96.9
Mixed,C,7,Buried,12,94.17
Mixed,C,8,Buried,12,61.82
Mixed,C,9,Buried,12,75.84
Mixed,C,10,Buried,12,62.75
Mixed,C,11,Buried,12,99.35
Mixed,C,12,Buried,12,49.38
,,,,,
,,,,,
Mixed,A,2,Buried,18,16.15
Mixed,A,3,Buried,18,37.07
Mixed,A,5,Buried,18,82.01
Mixed,A,6,Buried,18,26.48
Mixed,A,7,Buried,18,12.47
Mixed,A,8,Buried,18,71.31
Mixed,A,9,Buried,18,19.2
Mixed,A,10,Buried,18,24.59
Mixed,A,11,Buried,18,12.16
Mixed,A,12,Buried,18,53.84
,,,,,
Mixed,B,1,Buried,18,29.65
Mixed,B,2,Buried,18,44.07
Mixed,B,6,Buried,18,37.45
Mixed,B,8,Buried,18,80.67
Mixed,B,9,Buried,18,75.75
Mixed,B,10,Buried,18,47.88
Mixed,B,11,Buried,18,70.73
,,,,,
Mixed,C,1,Buried,18,47.93
Mixed,C,2,Buried,18,90.19
Mixed,C,3,Buried,18,22.99
Mixed,C,4,Buried,18,21.69
Mixed,C,6,Buried,18,124.34
Mixed,C,7,Buried,18,75.81
Mixed,C,8,Buried,18,46.25
Mixed,C,9,Buried,18,51.12
Mixed,C,10,Buried,18,13.36
Mixed,C,11,Buried,18,32.79
Mixed,C,12,Buried,18,56.09
,,,,,
Mixed,A,1,Buried,24,49.63
Mixed,A,3,Buried,24,70.15
Mixed,A,4,Buried,24,35.46
Mixed,A,5,Buried,24,37.46
Mixed,A,6,Buried,24,35.78
Mixed,A,7,Buried,24,31.19
Mixed,A,8,Buried,24,59.16
Mixed,A,9,Buried,24,42.47
Mixed,A,10,Buried,24,18.56
Mixed,A,11,Buried,24,47.93
Mixed,A,12,Buried,24,17.6
,,,,,
Mixed,B,1,Buried,24,17.44
Mixed,B,2,Buried,24,19.28
Mixed,B,3,Buried,24,53.67
Mixed,B,4,Buried,24,33.69
Mixed,B,5,Buried,24,42.53
Mixed,B,6,Buried,24,44.42
Mixed,B,7,Buried,24,22.32
Mixed,B,8,Buried,24,36.9
Mixed,B,9,Buried,24,34.48
Mixed,B,10,Buried,24,14.56
Mixed,B,11,Buried,24,93.73
Mixed,B,12,Buried,24,56.5
,,,,,
Mixed,C,4,Buried,24,44.37
Mixed,C,6,Buried,24,24.17
Mixed,C,9,Buried,24,56.39
Mixed,C,12,Buried,24,23.59
,,,,,
,,,,,
Mixed,A,8,Buried,36,62.58
Mixed,A,10,Buried,36,45.69
,,,,,
Mixed,A,12,Buried,48,45.89
Mixed,A,12,Buried,48,40.31
,,,,,
Mixed,A,1,Surface,6,69.72
Mixed,A,2,Surface,6,124.01
Mixed,A,3,Surface,6,51.56
Mixed,A,5,Surface,6,39.03
Mixed,A,7,Surface,6,97.66
Mixed,A,9,Surface,6,272.59
Mixed,A,10,Surface,6,38.81
Mixed,A,10,Surface,6,79.79
Mixed,A,11,Surface,6,37.25
,,,,,
Mixed,B,1,Surface,6,48.71
Mixed,B,2,Surface,6,50.6
Mixed,B,3,Surface,6,66.38
Mixed,B,5,Surface,6,153.23
Mixed,B,6,Surface,6,80.26
Mixed,B,7,Surface,6,94.88
Mixed,B,8,Surface,6,89.41
Mixed,B,11,Surface,6,47.3
Mixed,B,11,Surface,6,89.76
Mixed,B,12,Surface,6,64.21
,,,,,
Mixed,C,2,Surface,6,47.18
Mixed,C,3,Surface,6,48.84
Mixed,C,4,Surface,6,227.76
Mixed,C,6,Surface,6,77.69
Mixed,C,8,Surface,6,100.82
Mixed,C,9,Surface,6,34.69
Mixed,C,10,Surface,6,120.82
,,,,,
,,,,,
Mixed,A,1,Surface,12,47.53
Mixed,A,1,Surface,12,83.74
Mixed,A,2,Surface,12,86.03
Mixed,A,4,Surface,12,44.82
,,,,,
Mixed,B,1,Surface,12,52.23
Mixed,B,4,Surface,12,23.96
Mixed,B,6,Surface,12,60.46
Mixed,B,7,Surface,12,51.72
Mixed,B,9,Surface,12,27.61
Mixed,B,10,Surface,12,49.54
Mixed,B,11,Surface,12,81.66
Mixed,B,12,Surface,12,43.83
,,,,,
Mixed,C,1,Surface,12,69.69
Mixed,C,2,Surface,12,66.79
Mixed,C,2,Surface,12,84.81
Mixed,C,3,Surface,12,39.89
Mixed,C,3,Surface,12,58.13
Mixed,C,5,Surface,12,42.04
Mixed,C,5,Surface,12,43.31
Mixed,C,7,Surface,12,35.27
Mixed,C,8,Surface,12,43.81
Mixed,C,9,Surface,12,78.47
Mixed,C,10,Surface,12,69.84
Mixed,C,11,Surface,12,52.72
Mixed,C,12,Surface,12,50.05
,,,,,
,,,,,
Mixed,A,3,Surface,18,79.77
Mixed,A,5,Surface,18,103.66
Mixed,A,6,Surface,18,41.9
Mixed,A,8,Surface,18,76.76
Mixed,A,9,Surface,18,40.63
Mixed,A,10,Surface,18,44.47
,,,,,
Mixed,B,6,Surface,18,18.48
Mixed,B,8,Surface,18,50.56
Mixed,B,10,Surface,18,75.24
,,,,,
Mixed,C,1,Surface,18,46.08
Mixed,C,2,Surface,18,56.64
Mixed,C,3,Surface,18,48.33
Mixed,C,4,Surface,18,43.15
Mixed,C,6,Surface,18,41.46
Mixed,C,7,Surface,18,70.17
Mixed,C,8,Surface,18,114.84
Mixed,C,10,Surface,18,90.2
Mixed,C,11,Surface,18,56.78
Mixed,C,12,Surface,18,37.96
,,,,,
,,,,,
Mixed,A,1,Surface,24,45.69
Mixed,A,3,Surface,24,50.07
Mixed,A,4,Surface,24,22.4
Mixed,A,5,Surface,24,56.65
Mixed,A,6,Surface,24,20.89
Mixed,A,7,Surface,24,31.62
Mixed,A,8,Surface,24,59.71
Mixed,A,9,Surface,24,28.76
Mixed,A,10,Surface,24,21.73
Mixed,A,11,Surface,24,46.44
,,,,,
Mixed,B,4,Surface,24,37.57
Mixed,B,5,Surface,24,37.16
Mixed,B,6,Surface,24,31.14
Mixed,B,8,Surface,24,63.32
Mixed,B,9,Surface,24,26.21
Mixed,B,10,Surface,24,28.64
Mixed,B,12,Surface,24,55.13
,,,,,
Mixed,C,2,Surface,24,167.8
Mixed,C,4,Surface,24,36.42
Mixed,C,5,Surface,24,115.4
Mixed,C,6,Surface,24,44.91
Mixed,C,7,Surface,24,46.93
Mixed,C,8,Surface,24,103.08
Mixed,C,9,Surface,24,25.74
,,,,,
,,,,,
Mixed,A,1,Surface,36,32.16
Mixed,A,2,Surface,36,33.18
Mixed,A,3,Surface,36,22.65
Mixed,A,4,Surface,36,86.93
Mixed,A,5,Surface,36,27.22
Mixed,A,6,Surface,36,170.3
Mixed,A,7,Surface,36,19.61
Mixed,A,8,Surface,36,86.8
Mixed,A,9,Surface,36,41.73
,,,,,
Mixed,B,1,Surface,36,126.97
Mixed,B,2,Surface,36,12
Mixed,B,5,Surface,36,91.12
Mixed,B,6,Surface,36,37.02
Mixed,B,8,Surface,36,106.19
Mixed,B,9,Surface,36,53.69
Mixed,B,10,Surface,36,58.1
,,,,,
Mixed,C,4,Surface,36,61.9
Mixed,C,5,Surface,36,65.08
Mixed,C,7,Surface,36,98.38
Mixed,C,8,Surface,36,33.48
Mixed,C,9,Surface,36,39.76
Mixed,C,10,Surface,36,54.54
Mixed,C,11,Surface,36,117.67
Mixed,C,12,Surface,36,157.69
,,,,,
,,,,,
Mixed,A,3,Surface,48,56.14
Mixed,A,4,Surface,48,66.95
Mixed,A,5,Surface,48,46.73
Mixed,A,7,Surface,48,90.85
Mixed,A,8,Surface,48,29.88
Mixed,A,9,Surface,48,85.18
Mixed,A,10,Surface,48,21.34
Mixed,A,11,Surface,48,47.69
Mixed,A,12,Surface,48,142.59
,,,,,
Mixed,B,1,Surface,48,79.77
Mixed,B,2,Surface,48,12.49
Mixed,B,3,Surface,48,29.93
Mixed,B,4,Surface,48,87.71
Mixed,B,9,Surface,48,47.17
Mixed,B,9,Surface,48,77.67
Mixed,B,10,Surface,48,63.75
,,,,,
Mixed,C,1,Surface,48,64.98
Mixed,C,10,Surface,48,10.03
