Litter type,Block,Plot,Position,Months,Percent Mass remaining
turkey oak,C,12,Buried,36,13.67
,,,,,
,,,,,
turkey oak,A,4,Buried,48,17.98
turkey oak,A,6,Buried,48,18.22
turkey oak,A,6,Buried,48,24.04
turkey oak,A,7,Buried,48,17.84
turkey oak,A,8,Buried,48,19.94
turkey oak,A,9,Buried,48,11.94
,,,,,
turkey oak,B,2,Buried,48,21.12
turkey oak,B,5,Buried,48,22.62
turkey oak,B,7,Buried,48,6.25
turkey oak,B,8,Buried,48,12.22
turkey oak,B,9,Buried,48,18.02
turkey oak,B,12,Buried,48,16.08
,,,,,
turkey oak,C,2,Buried,48,11.19
turkey oak,C,3,Buried,48,12.75
turkey oak,C,4,Buried,48,20.43
turkey oak,C,5,Buried,48,25.33
turkey oak,C,7,Buried,48,40.35
turkey oak,C,11,Buried,48,16.09
,,,,,
turkey oak,A,1,Surface,6,90.14
turkey oak,A,2,Surface,6,80.77
turkey oak,A,3,Surface,6,94.11
turkey oak,A,4,Surface,6,94.21
turkey oak,A,5,Surface,6,87.7
turkey oak,A,6,Surface,6,89.93
turkey oak,A,7,Surface,6,93.13
turkey oak,A,8,Surface,6,93.27
turkey oak,A,9,Surface,6,94.6
turkey oak,A,10,Surface,6,89.84
turkey oak,A,10,Surface,6,90.11
turkey oak,A,11,Surface,6,92.06
,,,,,
turkey oak,B,1,Surface,6,87.83
turkey oak,B,2,Surface,6,89.93
turkey oak,B,3,Surface,6,92.39
turkey oak,B,4,Surface,6,88.63
turkey oak,B,5,Surface,6,92.78
turkey oak,B,6,Surface,6,95.18
turkey oak,B,7,Surface,6,88.98
turkey oak,B,8,Surface,6,92.16
turkey oak,B,10,Surface,6,87.64
turkey oak,B,11,Surface,6,88.8
turkey oak,B,11,Surface,6,95.76
turkey oak,B,12,Surface,6,90.94
,,,,,
turkey oak,C,1,Surface,6,93.01
turkey oak,C,2,Surface,6,88.4
turkey oak,C,3,Surface,6,91.72
turkey oak,C,4,Surface,6,88.71
turkey oak,C,4,Surface,6,90.52
turkey oak,C,6,Surface,6,92.72
turkey oak,C,6,Surface,6,96.77
turkey oak,C,7,Surface,6,94.43
turkey oak,C,8,Surface,6,96.98
turkey oak,C,9,Surface,6,90.28
turkey oak,C,10,Surface,6,85.43
turkey oak,C,11,Surface,6,99.37
turkey oak,C,12,Surface,6,91.71
,,,,,
,,,,,
turkey oak,A,1,Surface,12,79.65
turkey oak,A,2,Surface,12,84.62
turkey oak,A,4,Surface,12,82.72
turkey oak,A,5,Surface,12,82.84
turkey oak,A,6,Surface,12,82.07
turkey oak,A,7,Surface,12,82.65
turkey oak,A,8,Surface,12,85.05
turkey oak,A,9,Surface,12,46.01
turkey oak,A,9,Surface,12,81.51
turkey oak,A,11,Surface,12,79.62
turkey oak,A,12,Surface,12,82.26
turkey oak,A,12,Surface,12,86.8
,,,,,
turkey oak,B,1,Surface,12,81.54
turkey oak,B,2,Surface,12,88.24
turkey oak,B,3,Surface,12,85.25
turkey oak,B,4,Surface,12,80.82
turkey oak,B,5,Surface,12,78.61
turkey oak,B,6,Surface,12,84.67
turkey oak,B,7,Surface,12,76.67
turkey oak,B,8,Surface,12,85.74
turkey oak,B,9,Surface,12,79.01
turkey oak,B,10,Surface,12,80.65
turkey oak,B,11,Surface,12,76.46
turkey oak,B,11,Surface,12,81.62
turkey oak,B,12,Surface,12,76.65
,,,,,
turkey oak,C,1,Surface,12,83.22
turkey oak,C,2,Surface,12,80.48
turkey oak,C,3,Surface,12,86.93
turkey oak,C,5,Surface,12,82.17
turkey oak,C,6,Surface,12,81.9
turkey oak,C,7,Surface,12,87.79
turkey oak,C,8,Surface,12,82.26
turkey oak,C,9,Surface,12,84.44
turkey oak,C,10,Surface,12,79.96
turkey oak,C,11,Surface,12,85.35
turkey oak,C,12,Surface,12,83.01
,,,,,
,,,,,
turkey oak,A,1,Surface,18,58.63
turkey oak,A,2,Surface,18,73.87
turkey oak,A,3,Surface,18,68.8
turkey oak,A,4,Surface,18,61.75
turkey oak,A,5,Surface,18,71.8
turkey oak,A,6,Surface,18,72.36
turkey oak,A,7,Surface,18,72.97
turkey oak,A,8,Surface,18,63.25
turkey oak,A,9,Surface,18,62.68
turkey oak,A,10,Surface,18,61.6
turkey oak,A,11,Surface,18,69.34
turkey oak,A,12,Surface,18,67.71
,,,,,
turkey oak,B,1,Surface,18,64.36
turkey oak,B,2,Surface,18,21.83
turkey oak,B,3,Surface,18,71.12
turkey oak,B,4,Surface,18,72.53
turkey oak,B,5,Surface,18,63.59
turkey oak,B,6,Surface,18,65.46
turkey oak,B,7,Surface,18,64.04
turkey oak,B,8,Surface,18,65.81
turkey oak,B,9,Surface,18,65.92
turkey oak,B,10,Surface,18,66.65
turkey oak,B,11,Surface,18,57.42
turkey oak,B,12,Surface,18,70.08
,,,,,
turkey oak,C,1,Surface,18,73.31
turkey oak,C,2,Surface,18,61.12
turkey oak,C,3,Surface,18,67.46
turkey oak,C,4,Surface,18,79.91
turkey oak,C,5,Surface,18,82.06
turkey oak,C,6,Surface,18,45.26
turkey oak,C,7,Surface,18,70.23
turkey oak,C,8,Surface,18,81.1
turkey oak,C,9,Surface,18,63.23
turkey oak,C,10,Surface,18,71
turkey oak,C,11,Surface,18,67.61
turkey oak,C,12,Surface,18,74.53
,,,,,
,,,,,
turkey oak,A,1,Surface,24,57.79
turkey oak,A,2,Surface,24,71.82
turkey oak,A,3,Surface,24,71.07
turkey oak,A,4,Surface,24,58.11
turkey oak,A,5,Surface,24,55.33
turkey oak,A,6,Surface,24,69.12
turkey oak,A,7,Surface,24,55.04
turkey oak,A,8,Surface,24,62.19
turkey oak,A,9,Surface,24,54.69
turkey oak,A,10,Surface,24,58.89
turkey oak,A,11,Surface,24,72.42
turkey oak,A,12,Surface,24,56.04
,,,,,
turkey oak,B,1,Surface,24,64.78
turkey oak,B,2,Surface,24,71.97
turkey oak,B,3,Surface,24,60.88
turkey oak,B,4,Surface,24,61.46
turkey oak,B,5,Surface,24,53.05
turkey oak,B,6,Surface,24,75.42
turkey oak,B,7,Surface,24,60
turkey oak,B,8,Surface,24,62.28
turkey oak,B,9,Surface,24,68.78
turkey oak,B,10,Surface,24,58.63
turkey oak,B,10,Surface,24,64.09
turkey oak,B,12,Surface,24,60.39
,,,,,
turkey oak,C,1,Surface,24,50.9
turkey oak,C,2,Surface,24,61.3
turkey oak,C,3,Surface,24,60.78
turkey oak,C,4,Surface,24,70.53
turkey oak,C,5,Surface,24,61.07
turkey oak,C,6,Surface,24,67.67
turkey oak,C,7,Surface,24,58.38
turkey oak,C,8,Surface,24,55.51
turkey oak,C,9,Surface,24,62.9
turkey oak,C,10,Surface,24,57.36
turkey oak,C,11,Surface,24,56.72
turkey oak,C,12,Surface,24,58.85
,,,,,
,,,,,
turkey oak,A,1,Surface,36,44.36
turkey oak,A,2,Surface,36,58.33
turkey oak,A,3,Surface,36,58.76
turkey oak,A,4,Surface,36,39.31
turkey oak,A,5,Surface,36,52.79
turkey oak,A,6,Surface,36,63.62
turkey oak,A,7,Surface,36,52.37
turkey oak,A,8,Surface,36,47.61
turkey oak,A,9,Surface,36,58.7
turkey oak,A,10,Surface,36,33.01
turkey oak,A,11,Surface,36,43.4
turkey oak,A,12,Surface,36,32.21
,,,,,
turkey oak,B,1,Surface,36,39.43
turkey oak,B,2,Surface,36,56.08
turkey oak,B,4,Surface,36,49.65
turkey oak,B,5,Surface,36,48.97
turkey oak,B,6,Surface,36,62.88
turkey oak,B,7,Surface,36,39.39
turkey oak,B,8,Surface,36,43.27
turkey oak,B,9,Surface,36,54.13
turkey oak,B,11,Surface,36,45.42
turkey oak,B,11,Surface,36,60.06
turkey oak,B,12,Surface,36,50.05
,,,,,
turkey oak,C,1,Surface,36,49.86
turkey oak,C,2,Surface,36,33.38
turkey oak,C,3,Surface,36,46.51
turkey oak,C,4,Surface,36,42.72
turkey oak,C,5,Surface,36,45.75
turkey oak,C,7,Surface,36,66.44
turkey oak,C,8,Surface,36,44.4
turkey oak,C,9,Surface,36,56.18
